id	name	parentid	order
578	丛台	128	2
579	复兴	128	3
580	峰峰矿	128	4
581	邯郸	128	5
582	临漳	128	6
583	成安	128	7
584	大名	128	8
585	涉县	128	9
586	磁县	128	10
587	肥乡	128	11
588	永年	128	12
589	邱县	128	13
590	鸡泽	128	14
591	广平	128	15
592	馆陶	128	16
593	魏县	128	17
594	曲周	128	18
595	武安	128	19
596	桥东	129	1
597	桥西	129	2
598	邢台	129	3
599	临城	129	4
600	内丘	129	5
601	柏乡	129	6
602	隆尧	129	7
603	任县	129	8
604	南和	129	9
605	宁晋	129	10
606	巨鹿	129	11
607	新河	129	12
608	广宗	129	13
609	平乡	129	14
610	威县	129	15
611	清河	129	16
612	临西	129	17
613	南宫	129	18
614	沙河	129	19
615	新市	130	1
616	北市	130	2
617	南市	130	3
618	满城	130	4
619	清苑	130	5
620	涞水	130	6
621	阜平	130	7
622	徐水	130	8
623	定兴	130	9
624	唐县	130	10
625	高阳	130	11
626	容城	130	12
627	涞源	130	13
628	望都	130	14
629	安新	130	15
630	易县	130	16
631	曲阳	130	17
632	蠡县	130	18
633	顺平	130	19
634	博野	130	20
635	雄县	130	21
636	涿州	130	22
637	定州	130	23
638	安国	130	24
639	高碑店	130	25
640	桥东	131	1
641	桥西	131	2
642	宣化	131	3
643	下花园	131	4
644	宣化	131	5
645	张北	131	6
646	康保	131	7
647	沽源	131	8
648	尚义	131	9
649	蔚县	131	10
650	阳原	131	11
651	怀安	131	12
652	万全	131	13
653	怀来	131	14
654	涿鹿	131	15
655	赤城	131	16
656	崇礼	131	17
657	双桥	132	1
658	双滦	132	2
659	鹰手营子	132	3
660	承德	132	4
661	兴隆	132	5
662	平泉	132	6
663	滦平	132	7
664	隆化	132	8
665	丰宁	132	9
666	宽城	132	10
667	围场	132	11
668	新华	133	1
669	运河	133	2
670	沧县	133	3
671	青县	133	4
672	东光	133	5
673	海兴	133	6
674	盐山	133	7
675	肃宁	133	8
676	南皮	133	9
677	吴桥	133	10
678	献县	133	11
679	孟村	133	12
680	泊头	133	13
681	任丘	133	14
682	黄骅	133	15
683	河间	133	16
684	安次	134	1
685	广阳	134	2
686	固安	134	3
687	永清	134	4
688	香河	134	5
689	大城	134	6
690	文安	134	7
691	大厂	134	8
692	霸州	134	9
693	三河	134	10
694	桃城	135	1
695	枣强	135	2
696	武邑	135	3
697	武强	135	4
698	饶阳	135	5
699	安平	135	6
700	故城	135	7
701	景县	135	8
702	阜城	135	9
703	冀州	135	10
704	深州	135	11
705	小店	136	1
706	迎泽	136	2
707	杏花岭	136	3
708	尖草坪	136	4
709	万柏林	136	5
710	晋源	136	6
711	清徐	136	7
712	阳曲	136	8
713	娄烦	136	9
714	古交	136	10
715	城区	137	1
716	矿区	137	2
717	南郊	137	3
718	新荣	137	4
719	阳高	137	5
720	天镇	137	6
721	广灵	137	7
722	灵丘	137	8
723	浑源	137	9
724	左云	137	10
725	大同	137	11
726	城区	138	1
727	矿区	138	2
728	郊区	138	3
729	平定	138	4
730	盂县	138	5
731	城区	139	1
732	郊区	139	2
733	长治	139	3
734	襄垣	139	4
735	屯留	139	5
736	平顺	139	6
737	黎城	139	7
738	壶关	139	8
739	长子	139	9
740	武乡	139	10
741	沁县	139	11
742	沁源	139	12
743	潞城	139	13
744	城区	140	1
745	沁水	140	2
746	阳城	140	3
747	陵川	140	4
748	泽州	140	5
749	高平	140	6
750	朔城	141	1
751	平鲁	141	2
752	山阴	141	3
753	应县	141	4
754	右玉	141	5
755	怀仁	141	6
756	榆次	142	1
757	榆社	142	2
758	左权	142	3
759	和顺	142	4
760	昔阳	142	5
761	寿阳	142	6
762	太谷	142	7
763	祁县	142	8
764	平遥	142	9
765	灵石	142	10
766	介休	142	11
767	盐湖	143	1
768	临猗	143	2
769	万荣	143	3
770	闻喜	143	4
771	稷山	143	5
772	新绛	143	6
773	绛县	143	7
774	垣曲	143	8
775	夏县	143	9
776	平陆	143	10
777	芮城	143	11
778	永济	143	12
779	河津	143	13
780	忻府	144	1
781	定襄	144	2
782	五台	144	3
783	代县	144	4
784	繁峙	144	5
785	宁武	144	6
786	静乐	144	7
787	神池	144	8
788	五寨	144	9
789	岢岚	144	10
790	河曲	144	11
791	保德	144	12
792	偏关	144	13
793	原平	144	14
794	尧都	145	1
795	曲沃	145	2
796	翼城	145	3
797	襄汾	145	4
798	洪洞	145	5
799	古县	145	6
800	安泽	145	7
801	浮山	145	8
802	吉县	145	9
803	乡宁	145	10
804	大宁	145	11
805	隰县	145	12
806	永和	145	13
807	蒲县	145	14
808	汾西	145	15
809	侯马	145	16
810	霍州	145	17
811	离石	146	1
812	文水	146	2
813	交城	146	3
814	兴县	146	4
815	临县	146	5
816	柳林	146	6
817	石楼	146	7
818	岚县	146	8
819	方山	146	9
820	中阳	146	10
821	交口	146	11
822	孝义	146	12
823	汾阳	146	13
824	新城	147	1
825	回民	147	2
826	玉泉	147	3
827	赛罕	147	4
828	土默特左	147	5
829	托克托	147	6
830	和林格尔	147	7
831	清水河	147	8
832	武川	147	9
833	东河	148	1
834	昆都仑	148	2
835	青山	148	3
836	石拐	148	4
837	白云	148	5
838	九原	148	6
839	土默特右	148	7
840	固阳	148	8
841	达尔罕茂明安	148	9
842	海勃湾	149	1
843	海南	149	2
844	乌达	149	3
845	红山	150	1
846	元宝山	150	2
847	松山	150	3
848	阿鲁科尔沁	150	4
849	巴林左	150	5
850	巴林右	150	6
851	林西	150	7
852	克什克腾	150	8
853	翁牛特	150	9
854	喀喇沁	150	10
855	宁城	150	11
856	敖汉	150	12
857	科尔沁	151	1
858	科尔沁左翼中	151	2
859	科尔沁左翼后	151	3
860	开鲁	151	4
861	库伦	151	5
862	奈曼	151	6
863	扎鲁特	151	7
864	霍林郭勒	151	8
865	东胜	152	1
866	达拉特	152	2
867	准格尔	152	3
868	鄂托克前	152	4
869	鄂托克	152	5
870	杭锦	152	6
871	乌审	152	7
872	伊金霍洛	152	8
873	海拉尔	153	1
874	阿荣	153	2
875	莫力达瓦	153	3
876	鄂伦春	153	4
877	鄂温克族	153	5
878	陈巴尔虎	153	6
879	新巴尔虎左	153	7
880	新巴尔虎右	153	8
881	满洲里	153	9
882	牙克石	153	10
883	扎兰屯	153	11
884	额尔古纳	153	12
885	根河	153	13
886	临河	154	1
887	五原	154	2
888	磴口	154	3
889	乌拉特前	154	4
890	乌拉特中	154	5
891	乌拉特后	154	6
892	杭锦后	154	7
893	集宁	155	1
894	卓资	155	2
895	化德	155	3
896	商都	155	4
897	兴和	155	5
898	凉城	155	6
899	察哈尔右翼前	155	7
900	察哈尔右翼中	155	8
901	察哈尔右翼后	155	9
902	四子王	155	10
903	丰镇	155	11
904	乌兰浩特	156	1
905	阿尔山	156	2
906	科尔沁右翼前	156	3
907	科尔沁右翼中	156	4
908	扎赉特	156	5
909	突泉	156	6
910	二连浩特	157	1
911	锡林浩特	157	2
912	阿巴嘎	157	3
913	苏尼特左	157	4
914	苏尼特右	157	5
915	东乌珠穆沁	157	6
916	西乌珠穆沁	157	7
917	太仆寺	157	8
918	镶黄	157	9
919	正镶白	157	10
920	正蓝	157	11
921	多伦	157	12
922	阿拉善左	158	1
923	阿拉善右	158	2
924	额济纳	158	3
925	和平	159	1
926	沈河	159	2
927	大东	159	3
928	皇姑	159	4
929	铁西	159	5
930	苏家屯	159	6
931	东陵	159	7
932	沈北新区	159	8
933	于洪	159	9
934	辽中	159	10
935	康平	159	11
936	法库	159	12
937	新民	159	13
938	中山	160	1
939	西岗	160	2
940	沙河口	160	3
941	甘井子	160	4
942	旅顺口	160	5
943	金州	160	6
944	长海	160	7
945	瓦房店	160	8
946	普兰店	160	9
947	庄河	160	10
948	铁东	161	1
949	铁西	161	2
950	立山	161	3
951	千山	161	4
952	台安	161	5
953	岫岩	161	6
954	海城	161	7
955	新抚	162	1
956	东洲	162	2
957	望花	162	3
958	顺城	162	4
959	抚顺	162	5
960	新宾	162	6
961	清原	162	7
962	平山	163	1
963	溪湖	163	2
964	明山	163	3
965	南芬	163	4
966	本溪	163	5
967	桓仁	163	6
968	元宝	164	1
969	振兴	164	2
970	振安	164	3
971	宽甸	164	4
972	东港	164	5
973	凤城	164	6
974	古塔	165	1
975	凌河	165	2
976	太和	165	3
977	黑山	165	4
978	义县	165	5
979	凌海	165	6
980	北镇	165	7
981	站前	166	1
982	西市	166	2
983	鲅鱼圈	166	3
984	老边	166	4
985	盖州	166	5
986	大石桥	166	6
987	海州	167	1
988	新邱	167	2
989	太平	167	3
990	清河门	167	4
991	细河	167	5
992	阜新	167	6
993	彰武	167	7
994	白塔	168	1
995	文圣	168	2
996	宏伟	168	3
997	弓长岭	168	4
998	辽阳	168	5
999	灯塔	168	6
1000	太子河	168	7
1001	双台子	169	1
1002	兴隆台	169	2
1003	大洼	169	3
1004	盘山	169	4
1005	银州	170	1
1006	清河	170	2
1007	铁岭	170	3
1008	西丰	170	4
1009	昌图	170	5
1010	调兵山	170	6
1011	开原	170	7
1012	双塔	171	1
1013	龙城	171	2
1014	朝阳	171	3
1015	建平	171	4
1016	喀喇沁左翼	171	5
1017	北票	171	6
1018	凌源	171	7
1019	连山	172	1
1020	龙港	172	2
1021	南票	172	3
1022	绥中	172	4
1023	建昌	172	5
1024	兴城	172	6
1025	南关	173	1
1026	宽城	173	2
1027	朝阳	173	3
1028	二道	173	4
1029	绿园	173	5
1030	双阳	173	6
1031	农安	173	7
1032	九台	173	8
1033	榆树	173	9
1034	德惠	173	10
1035	昌邑	174	1
1036	龙潭	174	2
1037	船营	174	3
1038	丰满	174	4
1039	永吉	174	5
1040	桦甸	174	6
1041	蛟河	174	7
1042	舒兰	174	8
1043	磐石	174	9
1044	铁西	175	1
1045	铁东	175	2
1046	梨树	175	3
1047	伊通	175	4
1048	公主岭	175	5
1049	双辽	175	6
1050	龙山	176	1
1051	西安	176	2
1052	东丰	176	3
1053	东辽	176	4
1054	东昌	177	1
1055	二道江	177	2
1056	通化	177	3
1057	辉南	177	4
1058	柳河	177	5
1059	梅河口	177	6
1060	集安	177	7
1061	浑江	178	1
1062	江源	178	2
1063	抚松	178	3
1064	靖宇	178	4
1065	长白	178	5
1066	临江	178	6
1067	宁江	179	1
1068	前郭尔罗斯	179	2
1069	长岭	179	3
1070	乾安	179	4
1071	扶余	179	5
1072	洮北	180	1
1073	镇赉	180	2
1074	洮南	180	3
1075	大安	180	4
1076	通榆	180	5
1077	延吉	181	1
1078	图们	181	2
1079	敦化	181	3
1080	珲春	181	4
1081	龙井	181	5
1082	和龙	181	6
1083	汪清	181	7
1084	安图	181	8
1085	道里	182	1
1086	南岗	182	2
1087	道外	182	3
1088	平房	182	4
1089	松北	182	5
1090	香坊	182	6
1091	呼兰	182	7
1092	阿城	182	8
1093	依兰	182	9
1094	方正	182	10
1095	宾县	182	11
1096	巴彦	182	12
1097	木兰	182	13
1098	通河	182	14
1099	延寿	182	15
1100	双城	182	16
1101	尚志	182	17
1102	五常	182	18
